,campaign_link,category
0,https://www.gofundme.com//f/support-charlee-citeras-fight-against-leukemia?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
1,https://www.gofundme.com//f/camnjacis-recovery-journey?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
2,https://www.gofundme.com//f/support-the-mier-familys-healing-journey?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
3,https://www.gofundme.com//f/get-ryan-contrerasbetz-back-on-the-road-with-new-car?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
4,https://www.gofundme.com//f/support-roo-conatys-fight-against-cancer?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
5,https://www.gofundme.com//f/help-mukesh-overcome-health-challenges?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
6,https://www.gofundme.com//f/support-seans-battle-against-brain-cancer?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
7,https://www.gofundme.com//f/help-maddie-and-her-family-through-this-health-emergency?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
8,https://www.gofundme.com//f/save-baby-monseratt-urgent-medical-help-needed?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
9,https://www.gofundme.com//f/help-cayde-overcome-his-medical-challenges?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
10,https://www.gofundme.com//f/support-cari-laques-battle-against-stage-4-cancer?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
11,https://www.gofundme.com//f/support-jackson-griebels-care?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
12,https://www.gofundme.com//f/help-the-heinly-family-in-their-fight-against-cancer?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
13,https://www.gofundme.com//f/support-brielles-fight-against-leukemia?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
14,https://www.gofundme.com//f/t8vund-support-noahs-fight-against-leukemia?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
15,https://www.gofundme.com//f/support-and-wellness-for-nya-harrison?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
16,https://www.gofundme.com//f/support-healing-for-the-abraham-family?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
17,https://www.gofundme.com//f/v7s4y4-support-maisie-maes-road-to-recovery?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
18,https://www.gofundme.com//f/b2zkx-help-lexi-ride-the-wave-fighting-stage-2-breast-cancer?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
19,https://www.gofundme.com//f/donate-to-craig-mitchells-journey-to-healing?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
20,https://www.gofundme.com//f/4syh7-annas-fight-against-brain-cancer?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
21,https://www.gofundme.com//f/urgent-aid-for-vamsi-krishna-annavarapus-medical-care?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
22,https://www.gofundme.com//f/support-baby-alexs-journey-to-healing?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
23,https://www.gofundme.com//f/support-keegon-hadyn-heath-after-tragic-accident?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
24,https://www.gofundme.com//f/paiges-fundraiser-motorcycle-accident-medical-bills?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
25,https://www.gofundme.com//f/support-mark-mckenzie?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
26,https://www.gofundme.com//f/help-the-west-family-support-for-laura?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
27,https://www.gofundme.com//f/support-patricks-healing-journey-together?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
28,https://www.gofundme.com//f/support-logan-and-family-through-uncertainty?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
29,https://www.gofundme.com//f/help-muki-get-urgent-kidney-transplant-surgery?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
30,https://www.gofundme.com//f/help-support-jennifer-aierstoks-battle-against-brain-cancer?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
31,https://www.gofundme.com//f/support-joe-warren-dariens-beloved-santa?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
32,https://www.gofundme.com//f/support-samis-battle-against-tcell-lymphoma?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
33,https://www.gofundme.com//f/help-nick-freitags-family-with-medical-bills?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
34,https://www.gofundme.com//f/operationolivebranch?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
35,https://www.gofundme.com//f/support-shwetas-battle-against-rare-cancer?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
36,https://www.gofundme.com//f/aryd-almsaaad-laaamar-byt-ahly-althy-anhdm?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
37,https://www.gofundme.com//f/help-kash-get-the-liver-he-needs?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
38,https://www.gofundme.com//f/alfredo-martinezs-ongoing-fight-with-cancer?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
39,https://www.gofundme.com//f/home-team-needs-you-to-help-reid-eli-in-their-time-of-need?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
40,https://www.gofundme.com//f/gianna-grace-against-brain-cancer?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
41,https://www.gofundme.com//f/help-ramana-fight-for-his-life-after-multiple-heart-strokes?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
42,https://www.gofundme.com//f/support-lucille-20-years-of-service-now-in-need?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
43,https://www.gofundme.com//f/help-us-provide-the-best-loving-care-for-raeanne-laprade?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
44,https://www.gofundme.com//f/frine-estamos-contigo?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
45,https://www.gofundme.com//f/a-mothers-love-and-a-sons-fight-austins-journey?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
46,https://www.gofundme.com//f/support-isaiah-pagnozzis-recovery-journey?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
47,https://www.gofundme.com//f/support-michael-goldbergs-recovery-journey?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
48,https://www.gofundme.com//f/join-us-in-supporting-sheilas-fight?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
49,https://www.gofundme.com//f/help-ranga-reddys-son-hear-and-speak-again?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
50,https://www.gofundme.com//f/support-steves-family-with-medical-bills?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
51,https://www.gofundme.com//f/support-saifan-and-her-care-team?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
52,https://www.gofundme.com//f/support-camerons-journey-against-lymphoma?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
53,https://www.gofundme.com//f/support-russ-and-family-as-he-fights-to-recover-his-health?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
54,https://www.gofundme.com//f/my-father-pastor-john-moses?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
55,https://www.gofundme.com//f/help-alleviate-levis-medical-expenses?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
56,https://www.gofundme.com//f/help-donovan-and-his-family-through-12-weeks-of-chemotherapy?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
57,https://www.gofundme.com//f/mike-pridemore-funds-for-recovery?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
58,https://www.gofundme.com//f/support-maeves-battle-against-leukemia?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
59,https://www.gofundme.com//f/support-emily-johnson-and-fam-as-she-fights-kidney-failure?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
60,https://www.gofundme.com//f/help-kinsleys-family-during-their-tough-times?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
61,https://www.gofundme.com//f/help-the-ramirez-family-with-mias-medical-bills?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
62,https://www.gofundme.com//f/support-bens-recovery-journey-together?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
63,https://www.gofundme.com//f/support-bob-in-his-battle-against-cancer?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
64,https://www.gofundme.com//f/together-for-nate-healing-and-support-needed?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
65,https://www.gofundme.com//f/join-us-in-supporting-lauras-medical-needs?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
66,https://www.gofundme.com//f/help-eric-bulmahn-and-family-through-tough-times?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
67,https://www.gofundme.com//f/help-diane-thrive-after-spinal-injury?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
68,https://www.gofundme.com//f/support-samantha-pinns-family-during-this-heartbreaking-time?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
