image_url,gender,age,smile,emotion,beauty
https://images.gofundme.com/M-BnG_r_dO1C9PG8QucLMP8_4pQ=/720x405/https://d2g8igdw686xgo.cloudfront.net/82824899_1726546045984377_r.jpg,Female,34,1.729,"{'anger': 0.011, 'disgust': 0.011, 'fear': 0.218, 'happiness': 0.604, 'neutral': 0.599, 'sadness': 0.086, 'surprise': 98.472}","{'female_score': 62.441, 'male_score': 61.97}"
https://images.gofundme.com/jIk3PqXTfGhwFJPsOdEuy-Lh-WA=/720x405/https://d2g8igdw686xgo.cloudfront.net/82672529_1725909040956170_r.png,Female,21,0.138,"{'anger': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happiness': 1.245, 'neutral': 98.754, 'sadness': 0.0, 'surprise': 0.0}","{'female_score': 68.611, 'male_score': 73.114}"
https://images.gofundme.com/JprePUx9tJ9ZFKR-MI50p3kHBpo=/720x405/https://d2g8igdw686xgo.cloudfront.net/82670719_1725906936834587_r.jpeg,Female,77,84.192,"{'anger': 2.577, 'disgust': 0.419, 'fear': 0.032, 'happiness': 26.819, 'neutral': 69.959, 'sadness': 0.03, 'surprise': 0.163}","{'female_score': 41.007, 'male_score': 36.117}"
https://images.gofundme.com/QXM43jlP1AuOWgi2GN2nr42VdGs=/720x405/https://d2g8igdw686xgo.cloudfront.net/82592965_1725571294593102_r.jpeg,Female,61,99.979,"{'anger': 0.0, 'disgust': 0.001, 'fear': 0.0, 'happiness': 99.997, 'neutral': 0.001, 'sadness': 0.0, 'surprise': 0.001}","{'female_score': 29.451, 'male_score': 27.211}"
https://images.gofundme.com/V9UphwEdWH01t76Jlz1FAu4uL-k=/720x405/https://d2g8igdw686xgo.cloudfront.net/82818911_1726525712956881_r.jpeg,Male,36,11.332,"{'anger': 0.021, 'disgust': 0.006, 'fear': 0.006, 'happiness': 4.398, 'neutral': 90.052, 'sadness': 5.477, 'surprise': 0.04}","{'female_score': 51.488, 'male_score': 53.464}"
https://images.gofundme.com/Op5GnX0II1OujURS1XQifflx6YE=/720x405/https://d2g8igdw686xgo.cloudfront.net/82410527_172487463674836_r.jpeg,Male,56,17.23,"{'anger': 7.022, 'disgust': 9.203, 'fear': 0.926, 'happiness': 75.417, 'neutral': 2.359, 'sadness': 1.737, 'surprise': 3.337}","{'female_score': 64.227, 'male_score': 58.15}"
https://images.gofundme.com/WAipKrcw1XZcdR90h0ugBKAV4ok=/720x405/https://d2g8igdw686xgo.cloudfront.net/82891701_1726801267484275_r.jpeg,Male,43,99.274,"{'anger': 3.954, 'disgust': 0.172, 'fear': 0.172, 'happiness': 62.869, 'neutral': 5.207, 'sadness': 0.172, 'surprise': 27.455}","{'female_score': 53.728, 'male_score': 45.097}"
https://images.gofundme.com/B8IMCdh0wSbVHiS1OabRc89K7Dc=/720x405/https://d2g8igdw686xgo.cloudfront.net/82852759_1726665167283921_r.jpeg,Female,60,99.924,"{'anger': 0.0, 'disgust': 0.0, 'fear': 0.003, 'happiness': 99.954, 'neutral': 0.042, 'sadness': 0.0, 'surprise': 0.0}","{'female_score': 62.807, 'male_score': 64.977}"
https://images.gofundme.com/UjnyHq62DVtr7tNaCVV_JKLZdW0=/720x405/https://d2g8igdw686xgo.cloudfront.net/80979235_1719258573348434_r.jpeg,Male,26,82.564,"{'anger': 3.159, 'disgust': 0.008, 'fear': 0.008, 'happiness': 74.189, 'neutral': 13.405, 'sadness': 0.008, 'surprise': 9.223}","{'female_score': 46.415, 'male_score': 42.571}"
https://images.gofundme.com/3Cld8kykBfsUC84PKrSe3eKL5gQ=/720x405/https://d2g8igdw686xgo.cloudfront.net/82011493_1723310540322766_r.jpeg,Male,39,84.954,"{'anger': 3.54, 'disgust': 0.08, 'fear': 0.028, 'happiness': 89.266, 'neutral': 6.805, 'sadness': 0.03, 'surprise': 0.251}","{'female_score': 65.39, 'male_score': 69.308}"
https://images.gofundme.com/QBzU5HfaX0uRw_hV7NYWC8Or2MU=/720x405/https://d2g8igdw686xgo.cloudfront.net/82829283_1726738637880475_r.jpeg,Female,5,1.893,"{'anger': 1.427, 'disgust': 0.111, 'fear': 8.368, 'happiness': 1.498, 'neutral': 73.482, 'sadness': 6.614, 'surprise': 8.5}","{'female_score': 56.675, 'male_score': 55.545}"
https://images.gofundme.com/VjtX-KAXYa9TpT0jOxtRbDRFpLw=/720x405/https://d2g8igdw686xgo.cloudfront.net/82539909_1725473884174276_r.png,Male,39,99.999,"{'anger': 0.025, 'disgust': 40.602, 'fear': 0.211, 'happiness': 58.554, 'neutral': 0.029, 'sadness': 0.553, 'surprise': 0.025}","{'female_score': 51.592, 'male_score': 45.062}"
https://images.gofundme.com/rwF4fl8CYUMJlSR1s-EC9ctcDaY=/720x405/https://d2g8igdw686xgo.cloudfront.net/82697275_1726001074491470_r.jpeg,Female,31,99.978,"{'anger': 64.25, 'disgust': 0.006, 'fear': 0.009, 'happiness': 35.688, 'neutral': 0.006, 'sadness': 0.007, 'surprise': 0.035}","{'female_score': 51.564, 'male_score': 55.087}"
https://images.gofundme.com/SsQal_YNDl656Vj4MJMJUvoFYCI=/720x405/https://d2g8igdw686xgo.cloudfront.net/82269097_1724362144164092_r.png,Female,44,100.0,"{'anger': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happiness': 100.0, 'neutral': 0.0, 'sadness': 0.0, 'surprise': 0.0}","{'female_score': 46.096, 'male_score': 44.799}"
https://images.gofundme.com/1p_2kRrlInsgyvUQ9c1llF2LUh8=/720x405/https://d2g8igdw686xgo.cloudfront.net/82725057_1726320752594032_r.jpg,Female,37,100.0,"{'anger': 0.019, 'disgust': 0.057, 'fear': 0.002, 'happiness': 99.888, 'neutral': 0.024, 'sadness': 0.009, 'surprise': 0.002}","{'female_score': 57.407, 'male_score': 53.873}"
https://images.gofundme.com/LoHaOFi46ibFVRAPgZ6Rkj323vY=/720x405/https://d2g8igdw686xgo.cloudfront.net/81767973_1722355872217510_r.jpeg,Male,35,0.043,"{'anger': 23.641, 'disgust': 11.192, 'fear': 0.088, 'happiness': 4.171, 'neutral': 1.114, 'sadness': 59.707, 'surprise': 0.088}","{'female_score': 48.458, 'male_score': 44.751}"
https://images.gofundme.com/g3G_pS5Kpp1ZRmjmb1fg6Z6f984=/720x405/https://d2g8igdw686xgo.cloudfront.net/82612283_172566016078881_r.jpeg,Male,55,99.892,"{'anger': 0.293, 'disgust': 0.039, 'fear': 0.041, 'happiness': 82.321, 'neutral': 13.464, 'sadness': 0.039, 'surprise': 3.805}","{'female_score': 49.224, 'male_score': 50.354}"
https://images.gofundme.com/lZ1t6zgfqeu4mD3Dh62VzrlTBTg=/720x405/https://d2g8igdw686xgo.cloudfront.net/82733385_1726259849357145_r.jpeg,Female,25,13.607,"{'anger': 0.109, 'disgust': 5.476, 'fear': 0.948, 'happiness': 14.104, 'neutral': 76.585, 'sadness': 0.109, 'surprise': 2.669}","{'female_score': 47.48, 'male_score': 48.072}"
https://images.gofundme.com/-7hegJqzu9CteRUbj-ofSSovmqw=/720x405/https://d2g8igdw686xgo.cloudfront.net/82753917_1726242676426601_r.jpeg,Female,39,9.114,"{'anger': 6.538, 'disgust': 0.161, 'fear': 32.953, 'happiness': 57.93, 'neutral': 0.811, 'sadness': 1.452, 'surprise': 0.155}","{'female_score': 57.772, 'male_score': 57.143}"
https://images.gofundme.com/VmOKMqKcjmq0zX2YYuiJJRH2_3g=/720x405/https://i.ytimg.com/vi/M5MBrAHcHfo/0.jpg,Male,54,0.419,"{'anger': 0.945, 'disgust': 30.449, 'fear': 0.097, 'happiness': 3.305, 'neutral': 6.794, 'sadness': 58.354, 'surprise': 0.055}","{'female_score': 48.277, 'male_score': 50.207}"
https://images.gofundme.com/9OAfNyBICSq3EpbazFkPsDg0ZiQ=/720x405/https://d2g8igdw686xgo.cloudfront.net/82030487_1723397644272183_r.jpeg,Female,40,99.994,"{'anger': 0.011, 'disgust': 0.023, 'fear': 0.004, 'happiness': 99.946, 'neutral': 0.007, 'sadness': 0.005, 'surprise': 0.004}","{'female_score': 72.883, 'male_score': 73.409}"
https://images.gofundme.com/iSQrREYalBcYrilQNX6r0tHUM50=/720x405/https://d2g8igdw686xgo.cloudfront.net/81846139_172521707814907_r.jpg,Female,49,97.57,"{'anger': 0.001, 'disgust': 0.102, 'fear': 0.002, 'happiness': 99.828, 'neutral': 0.063, 'sadness': 0.003, 'surprise': 0.001}","{'female_score': 30.378, 'male_score': 35.094}"
https://images.gofundme.com/n7N08GZtTJtSMpcso6dNmbJ1gEE=/720x405/https://d2g8igdw686xgo.cloudfront.net/81723353_1722176758554737_r.jpeg,Female,27,2.123,"{'anger': 73.363, 'disgust': 0.439, 'fear': 0.154, 'happiness': 0.001, 'neutral': 0.001, 'sadness': 26.016, 'surprise': 0.025}","{'female_score': 85.375, 'male_score': 79.799}"
https://images.gofundme.com/DDSkMwv17fzYfHPii2zHm5L0-Fk=/720x405/https://d2g8igdw686xgo.cloudfront.net/82670201_172591246145672_r.png,Male,38,100.0,"{'anger': 0.0, 'disgust': 0.011, 'fear': 0.0, 'happiness': 99.989, 'neutral': 0.0, 'sadness': 0.0, 'surprise': 0.0}","{'female_score': 51.317, 'male_score': 46.291}"
https://images.gofundme.com/1gEW2h_3IhL8o0uoA3R_DA9XjaU=/720x405/https://d2g8igdw686xgo.cloudfront.net/82349797_1724645977356730_r.jpeg,Female,42,79.946,"{'anger': 0.212, 'disgust': 38.664, 'fear': 54.358, 'happiness': 0.483, 'neutral': 6.114, 'sadness': 0.085, 'surprise': 0.085}","{'female_score': 58.398, 'male_score': 54.684}"
https://images.gofundme.com/GzYkXNmG4KftHFw6lzAixBuCA9c=/720x405/https://d2g8igdw686xgo.cloudfront.net/82829291_1726577136866245_r.jpeg,Female,50,99.999,"{'anger': 0.013, 'disgust': 0.25, 'fear': 0.998, 'happiness': 98.726, 'neutral': 0.003, 'sadness': 0.006, 'surprise': 0.003}","{'female_score': 41.689, 'male_score': 40.482}"
https://images.gofundme.com/G_2wraUlMplwikq59RGeFz_axAg=/720x405/https://d2g8igdw686xgo.cloudfront.net/82821199_1726532186299945_r.jpeg,Female,21,0.607,"{'anger': 0.034, 'disgust': 22.405, 'fear': 0.126, 'happiness': 0.034, 'neutral': 77.099, 'sadness': 0.202, 'surprise': 0.099}","{'female_score': 82.753, 'male_score': 81.493}"
https://images.gofundme.com/NtRiutl__hfrrVH5gwGfWxLzEnI=/720x405/https://d2g8igdw686xgo.cloudfront.net/82905545_1726865256133151_r.jpeg,Female,65,47.876,"{'anger': 42.973, 'disgust': 1.845, 'fear': 0.044, 'happiness': 54.195, 'neutral': 0.854, 'sadness': 0.044, 'surprise': 0.044}","{'female_score': 40.073, 'male_score': 35.814}"
https://images.gofundme.com/-0DvzNOeG8cJBiQ18iQ6YvpCx-Q=/720x405/https://d2g8igdw686xgo.cloudfront.net/82898959_172684524384817_r.jpeg,Female,30,100.0,"{'anger': 0.0, 'disgust': 0.006, 'fear': 0.0, 'happiness': 99.993, 'neutral': 0.0, 'sadness': 0.0, 'surprise': 0.0}","{'female_score': 44.107, 'male_score': 37.932}"
https://images.gofundme.com/Y8qbELctqYnH7WGUlGPkCoQzOi8=/720x405/https://d2g8igdw686xgo.cloudfront.net/82855727_1726675243964798_r.jpeg,Female,20,100.0,"{'anger': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happiness': 100.0, 'neutral': 0.0, 'sadness': 0.0, 'surprise': 0.0}","{'female_score': 69.634, 'male_score': 65.953}"
https://images.gofundme.com/sv04I-dTLaqIIH2GUM92UOW9pBc=/720x405/https://d2g8igdw686xgo.cloudfront.net/82691309_1725985513524922_r.jpg,Female,39,99.978,"{'anger': 0.015, 'disgust': 0.015, 'fear': 0.213, 'happiness': 94.202, 'neutral': 3.535, 'sadness': 0.015, 'surprise': 2.003}","{'female_score': 46.951, 'male_score': 47.556}"
